POWER_DEMAND,temp,feelslike,dew,humidity,precipprob,windgust,windspeed,sealevelpressure,cloudcover,visibility,uvindex,preciptype_rain
5879,28.7,36.0,27.1,91.2,100,23.4,14.8,1003.5,87.1,3.2,8,True
6263,30.6,40.2,27.4,83.8,0,17.6,14.8,1003.7,69.9,3.7,8,False
5897,29.9,40.0,28.0,90.2,100,26.3,18.4,1002.8,87.6,3.5,9,True
6517,30.0,38.8,27.3,86.1,100,29.5,16.6,1001.9,82.2,3.7,8,True
6179,30.2,38.9,27.0,83.8,100,20.5,11.2,1004.4,80.7,4.0,9,True
6338,30.7,39.8,27.0,81.2,0,19.4,16.6,1004.9,64.7,4.2,8,True
6262,30.9,39.7,26.7,79.2,0,19.8,14.8,1004.1,67.1,4.2,8,True
5895,28.6,34.1,26.0,86.5,100,16.2,18.4,1004.4,82.2,3.8,9,True
6437,30.4,37.4,25.7,77.2,0,19.8,13.0,1005.3,68.5,4.2,8,True
6793,31.0,38.7,26.1,76.2,100,24.1,13.0,1004.0,58.9,4.1,9,True
6233,28.3,34.0,25.9,87.0,0,13.3,11.2,1005.1,75.2,3.8,9,True
6086,30.3,38.8,26.8,82.2,0,17.6,11.2,1004.2,63.3,2.8,9,False
6058,30.4,37.6,26.1,79.0,100,39.6,15.8,1002.0,62.2,3.6,9,True
5975,29.9,37.6,26.4,82.0,100,55.4,37.1,1001.7,69.3,3.5,8,True
6047,28.5,33.7,25.8,86.1,100,38.2,18.4,1003.9,86.1,3.6,7,True
6068,28.0,32.7,25.8,88.5,100,35.3,16.6,1004.0,87.7,3.0,7,True
5565,27.0,30.9,26.2,95.6,100,29.2,16.6,1004.2,90.8,3.0,5,True
6158,29.4,35.1,25.9,82.8,100,37.1,18.4,1006.2,44.3,3.5,8,True
6246,30.8,39.6,26.8,80.1,0,13.0,14.8,1005.5,47.6,3.6,9,False
6538,31.7,41.1,26.9,76.9,0,11.2,11.2,1004.9,46.6,3.7,9,False
6297,29.3,37.0,26.8,86.6,100,25.6,13.0,1006.0,72.8,3.2,7,True
6607,30.9,39.2,26.5,79.1,0,22.7,18.4,1005.9,65.7,3.5,8,False
5783,27.0,30.0,25.3,90.6,100,33.5,14.8,1004.1,85.5,3.4,8,True
5671,28.3,33.0,25.4,85.4,100,20.2,7.6,1002.3,77.8,3.4,8,True
5735,28.1,32.9,25.7,87.4,100,23.4,15.7,1003.7,85.0,3.3,8,True
5429,27.4,30.1,25.3,88.7,100,23.8,20.5,1004.9,90.6,3.0,8,True
5155,27.2,31.5,26.3,95.2,100,11.9,13.0,1004.7,85.4,1.9,2,True
5722,28.8,35.4,26.9,89.9,100,11.9,16.6,1002.6,58.5,2.2,8,True
6093,28.1,32.6,25.8,88.1,100,15.5,18.4,1002.0,72.0,2.7,8,True
5683,28.4,33.2,25.9,87.0,100,18.0,9.4,1001.8,86.6,3.3,8,True
5315,26.1,28.0,25.3,95.4,100,48.6,18.4,1000.6,95.0,3.3,1,True
4848,24.0,24.2,23.7,98.5,100,52.2,22.3,1001.5,96.0,2.8,5,True
4683,26.5,29.1,24.1,87.5,100,31.7,16.6,1003.5,81.1,3.8,8,True
4630,28.0,31.2,24.4,81.8,100,31.7,20.5,1004.3,62.7,3.9,8,True
5000,28.8,32.2,24.3,77.8,0,21.2,20.5,1005.8,48.5,4.2,8,False
5490,29.0,33.0,24.5,78.1,0,15.5,13.0,1007.3,61.6,4.2,8,False
5170,25.8,27.5,23.9,89.7,100,32.0,20.5,1006.2,91.0,3.3,7,True
